Year,Max Grid Points,DOI
2024,774400000,10.1017/jfm.2023.1099
2023,1073741824,10.1017/jfm.2023.971
2023,6865551360,10.1017/jfm.2023.104
2023,5033164800,10.1017/jfm.2023.26
2023,30064771072,10.1017/jfm.2023.764
2023,25600000,10.1017/jfm.2023.884
2023,382205952,10.1017/jfm.2023.728
2023,485587656,10.1017/jfm.2022.1056
2023,64424509440,10.1017/jfm.2022.1013
2023,87512161,10.1017/jfm.2023.502
2023,1212678144,10.1017/jfm.2023.359
2023,263831040,10.1017/jfm.2023.870
2023,262144000,10.1017/jfm.2023.307
2022,843750000,10.1017/jfm.2022.764
2022,1337720832,10.1017/jfm.2022.559
2022,54000000,10.1017/jfm.2022.22
2022,8589934592,10.1017/jfm.2022.434
2022,18000000,10.1017/jfm.2022.822
2022,243855360,10.1017/jfm.2022.749
2022,268435456,10.1017/jfm.2022.402
2022,12884901888,10.1017/jfm.2022.942
2022,509607936,10.1017/jfm.2021.1080
2022,3446016,10.1017/jfm.2022.587
2022,3263299584,10.1017/jfm.2022.393
2022,27917287424,10.1017/jfm.2022.574
2022,280350720,10.1017/jfm.2022.456
2022,2828800000,10.1017/jfm.2022.80
2022,4294967296,10.1017/jfm.2022.294
2022,4194304,10.1017/jfm.2022.801
2022,173232000,10.1017/jfm.2022.331
2022,8053063680,10.1017/jfm.2022.699
2022,38755584,10.1017/jfm.2021.1028
2021,707481600,10.1017/jfm.2021.827
2021,150994944,10.1017/jfm.2021.814
2021,93219840,10.1017/jfm.2021.524
2021,1073741824,10.1017/jfm.2021.32
2021,452984832,10.1017/jfm.2021.519
2021,268435456,10.1017/jfm.2021.511
2021,63606620160,10.1017/jfm.2021.231
2021,39911040,10.1017/jfm.2021.448
2021,1061683200,10.1017/jfm.2021.103
2021,16777216,10.1017/jfm.2021.757
2021,63700992,10.1017/jfm.2021.705
2021,68719476736,10.1017/jfm.2021.288
2021,554000000,10.1017/jfm.2021.312
2021,192000000,10.1017/jfm.2021.535
2021,2087321600,10.1017/jfm.2020.1144
2021,1160000000,10.1017/jfm.2020.943
2021,6039797760,10.1017/jfm.2020.913
2020,134217728,10.1017/jfm.2020.159
2020,805306368,10.1017/jfm.2019.1012
2020,160168320,10.1017/jfm.2020.601
2020,33554432,10.1017/jfm.2020.402
2020,563871744,10.1017/jfm.2020.173
2020,78643200,10.1017/jfm.2020.33
2020,28794880,10.1017/jfm.2020.452
2020,989148160,10.1017/jfm.2020.669
2020,94371840,10.1017/jfm.2020.874
2020,68719476736,10.1017/jfm.2020.146
2020,15271410,10.1017/jfm.2020.629
2020,15884544,10.1017/jfm.2020.590
2020,1509949440,10.1017/jfm.2020.488
2020,263831040,10.1017/jfm.2020.412
2020,134217728,10.1017/jfm.2020.218
2020,134217728,10.1017/jfm.2020.162
2020,106168320,10.1017/jfm.2020.780
2019,5640192,10.1017/jfm.2019.482
2019,1440000000,10.1017/jfm.2019.670
2019,491520000,10.1017/jfm.2019.376
2019,2147483648,10.1017/jfm.2018.1005
2019,210134016,10.1017/jfm.2019.787
2019,235376180,10.1017/jfm.2018.953
2019,235929600,10.1017/jfm.2019.84
2019,75000000,10.1017/jfm.2019.179
2019,754974720,10.1017/jfm.2019.558
2019,164167200,10.1017/jfm.2018.1000
2019,314572800,10.1017/jfm.2019.222
2019,884736000,10.1017/jfm.2019.995
2019,12582912,10.1017/jfm.2019.100
2018,33816576,10.1017/jfm.2018.242
2018,135075000,10.1017/jfm.2018.489
2018,11894784000,10.1017/jfm.2018.625
2018,20966400,10.1017/jfm.2018.466
2018,44160000,10.1017/jfm.2018.256
2018,268435456,10.1017/jfm.2018.231
2018,83420000,10.1017/jfm.2018.503
2018,92798976,10.1017/jfm.2018.408
2018,16777216,10.1017/jfm.2018.389
2018,48500000,10.1017/jfm.2018.331
2017,16777216,10.1017/jfm.2016.859
2017,1207959552,10.1017/jfm.2017.237
2017,1944000000,10.1017/jfm.2017.53
2017,152174592,10.1017/jfm.2017.372
2017,509607936,10.1017/jfm.2017.873
2017,489715200,10.1017/jfm.2017.619
2017,16777216,10.1017/jfm.2017.672
2017,8000000,10.1017/jfm.2017.157
2017,408158208,10.1017/jfm.2017.398
2017,7077888,10.1017/jfm.2017.164
2017,6879707136,10.1017/jfm.2017.371
2017,11158866000,10.1017/jfm.2017.549
2016,8589934592,10.1017/jfm.2015.754
2016,4186161,10.1017/jfm.2016.346
2016,4608000,10.1017/jfm.2016.554
2016,536870912,10.1017/jfm.2016.207
2016,752640000,10.1017/jfm.2016.179
2016,83886080,10.1017/jfm.2016.230
2015,131072000,10.1017/jfm.2015.9
2015,28459008,10.1017/jfm.2015.717
2015,120795955200,10.1017/jfm.2015.268
2015,14745600,10.1017/jfm.2015.566
2015,491206500,10.1017/jfm.2014.678
2015,327680000,10.1017/jfm.2015.696
2015,952247081,10.1017/jfm.2014.715
2015,67108864,10.1017/jfm.2015.211
2014,11500000,10.1017/jfm.2014.589
2014,9200000,10.1017/jfm.2014.368
2014,170393600,10.1017/jfm.2014.597
2014,78643200,10.1017/jfm.2014.68
2014,567730944,10.1017/jfm.2014.30
2013,262144000,10.1017/jfm.2012.596
2013,171884160,10.1017/jfm.2013.70
2013,3162112,10.1017/jfm.2013.361
2013,67108864,10.1017/jfm.2013.130
2013,1153433600,10.1017/jfm.2013.142
2013,172800000,10.1017/jfm.2013.108
2012,268435456,10.1017/jfm.2012.59
2012,240000000,10.1017/jfm.2012.345
2012,134217728,10.1017/jfm.2012.241
2012,14495514624,10.1017/jfm.2012.428
2012,134217728,10.1017/jfm.2012.374
2012,373800960,10.1017/jfm.2012.400
2012,536870912,10.1017/jfm.2012.81
2012,1672704000,10.1017/jfm.2012.257
2011,134217728,10.1017/S0022112010005033
2011,2097152,10.1017/S0022112010005215
2011,78988950,10.1017/S0022112010005082
2011,6291456,10.1017/jfm.2011.219
2011,26542080,10.1017/jfm.2011.252
2011,28800000,10.1017/S0022112010005902
2011,338000000,10.1017/S0022112010004866
2011,211613535,10.1017/S0022112010005094
2011,99186753,10.1017/jfm.2011.34
2010,33600000,10.1017/S0022112010001278
2010,944000000,10.1017/S002211201000039X
2010,172800000,10.1017/S0022112010000893
2010,84756225,10.1017/S0022112010003873
2010,134217728,10.1017/S0022112010000807
2010,252593991,10.1017/S0022112010001710
2010,220000000,10.1017/S0022112010000558
2010,12582912,10.1017/S0022112010000169
2010,650000,10.1017/S002211201000340X
2010,35000000,10.1017/S002211200999423X
2010,3227516928,10.1017/S0022112010003113
2009,17921212416,10.1017/S0022112009007769
2009,943936000,10.1017/S0022112009991388
2009,149921280,10.1017/S0022112009992333
2009,16777216,10.1017/S0022112008004916
2009,7490265,10.1017/S0022112009007496
2009,17040384,10.1017/S0022112008004813
2009,209715200,10.1017/S0022112009006624
2009,6600000,10.1017/S0022112008005156
2009,600000000,10.1017/S0022112008004473
2008,4574147680,10.1017/S0022112008000864
2008,622000000,10.1017/S0022112008001006
2008,532480,10.1017/S0022112008004060
2008,134217728,10.1017/S0022112007009883
2008,106000000,10.1017/S0022112007009561
2008,12880000,10.1017/S0022112008001985
2008,98991585,10.1017/S0022112008000657
2008,16777216,10.1017/S0022112008000141
2008,629145600,10.1017/S0022112008002085
2007,8589934592,10.1017/S0022112007008002
2007,131995521,10.1017/S0022112007006192
2007,7807488,10.1017/S0022112007007380
2007,12582912,10.1017/S0022112007004971
2007,5270000,10.1017/S0022112007005836
2007,3145728,10.1017/S0022112006004034
2007,38707200,10.1017/S0022112007009020
2006,4227072,10.1017/S0022112006001121
2006,2097152,10.1017/S0022112006001832
2006,1179648,10.1017/S0022112006000711
2006,93400000,10.1017/S002211200600262X
2006,1186816,10.1017/S0022112006002606
2005,251658240,10.1017/S0022112005006427
2005,1843200,10.1017/S0022112005003964
2005,5376000,10.1017/S0022112005003940
